state,FIPS,waterRightID,priorityDate,origWaterUse,waterUse,source,basinNum,CFS
Nevada,32,14483,8/11/52,STK,livestock,SURFACE WATER,001,0.031
Nevada,32,14484,8/11/52,STK,livestock,SURFACE WATER,001,0.015
Nevada,32,8223,7/12/27,STK,livestock,SURFACE WATER,001,0.00899999
Nevada,32,18083,6/25/59,IRR,irrigation,GROUND WATER,001,0.033
Nevada,32,21176,4/4/63,DOM,domestic,GROUND WATER,001,0.089
Nevada,32,V01873,1890/01/01,IRR,irrigation,SURFACE WATER,001,2
Nevada,32,38720,8/1/79,IRR,irrigation,GROUND WATER,001,5.6
Nevada,32,13503,9/25/50,IRR,irrigation,GROUND WATER,001,1.5
Nevada,32,18000,5/14/59,IRR,irrigation,GROUND WATER,001,0.5
Nevada,32,18001,5/14/59,IRR,irrigation,GROUND WATER,001,0.045
Nevada,32,21216,4/23/63,COM,industrial,GROUND WATER,001,0.044
Nevada,32,23244,7/18/66,IRR,irrigation,GROUND WATER,001,1.782
Nevada,32,50082,8/2/93,QM,domestic,GROUND WATER,001,0.089
Nevada,32,V11425,6/19/18,COM,industrial,GROUND WATER,001,0
Nevada,32,23502,11/17/66,IRR,irrigation,GROUND WATER,001,1.5
Nevada,32,22037,6/5/64,DOM,domestic,SURFACE WATER,001,0.002
Nevada,32,83097,10/6/64,IRR,irrigation,GROUND WATER,001,0.9
Nevada,32,83098,5/27/66,IRR,irrigation,GROUND WATER,001,4.5
Nevada,32,83094,2/1/74,IRR,irrigation,GROUND WATER,001,6
Nevada,32,28051,2/1/74,IRR,irrigation,GROUND WATER,001,0
Nevada,32,35276,4/14/78,QM,domestic,GROUND WATER,001,0.1
Nevada,32,87525,12/11/17,COM,industrial,GROUND WATER,001,0.226
Nevada,32,83096,5/26/66,IRR,irrigation,GROUND WATER,001,4.75
Nevada,32,24466,5/26/66,IRR,irrigation,GROUND WATER,001,0
Nevada,32,27293,10/6/64,IRR,irrigation,GROUND WATER,001,0
Nevada,32,36579,4/25/69,IRR,irrigation,GROUND WATER,001,1.479
Nevada,32,58249,10/14/92,STK,livestock,GROUND WATER,001,0.00899999
Nevada,32,58248,10/14/92,STK,livestock,GROUND WATER,001,0.00899999
Nevada,32,8629,7/19/28,STK,livestock,SURFACE WATER,001,0.025
Nevada,32,V01859,1/1/00,IRR,irrigation,SURFACE WATER,001,1.67
Nevada,32,8631,7/19/28,STK,livestock,SURFACE WATER,001,0.02
Nevada,32,9580,3/28/32,STK,livestock,SURFACE WATER,001,0.028
Nevada,32,8630,7/19/28,STK,livestock,SURFACE WATER,001,0.025
Nevada,32,36479,1/17/79,STK,livestock,SURFACE WATER,002,0
Nevada,32,40311,1/14/80,STK,livestock,SURFACE WATER,002,0
Nevada,32,V02071,1890/01/01,STK,livestock,SURFACE WATER,002,0.046
Nevada,32,77574,11/5/08,STO,environmental,SURFACE WATER,002,0
Nevada,32,8912,5/22/29,STK,livestock,SURFACE WATER,002,0.022
Nevada,32,V02073,1890/01/01,STK,livestock,SURFACE WATER,002,0.046
Nevada,32,V02638,1890/01/01,IRR,irrigation,SURFACE WATER,002,2.145
Nevada,32,V02072,1890/01/01,STK,livestock,SURFACE WATER,002,0.046
Nevada,32,V02617,1879/01/01,IRR,irrigation,SURFACE WATER,002,2.012
Nevada,32,24604,7/25/68,IRR,irrigation,GROUND WATER,002,4.9
Nevada,32,21598,11/1/63,IRR,irrigation,GROUND WATER,002,2.65
Nevada,32,25168,7/22/69,IRR,irrigation,GROUND WATER,002,2.8
Nevada,32,19530,2/3/61,IRR,irrigation,SURFACE WATER,002,1.91
Nevada,32,69698,2/28/03,IRR,irrigation,SURFACE WATER,002,4.2
Nevada,32,83694T,6/30/66,STK,livestock,GROUND WATER,002,0.0093
Nevada,32,8916,5/22/29,STK,livestock,SURFACE WATER,002,0.022
Nevada,32,9148,11/14/29,STK,livestock,SURFACE WATER,002,0.022
Nevada,32,V02070,1890/01/01,STK,livestock,SURFACE WATER,002,0.046
Nevada,32,8913,5/22/29,STK,livestock,SURFACE WATER,002,0.022
Nevada,32,9145,11/8/29,STK,livestock,SURFACE WATER,002,0.022
Nevada,32,9143,11/8/29,STK,livestock,SURFACE WATER,002,0.022
Nevada,32,9142,11/8/29,STK,livestock,SURFACE WATER,002,0.022
Nevada,32,9144,11/8/29,STK,livestock,SURFACE WATER,002,0.022
Nevada,32,8915,5/22/29,STK,livestock,SURFACE WATER,002,0.022
Nevada,32,8914,5/22/29,STK,livestock,SURFACE WATER,002,0.022
Nevada,32,51325,10/29/81,STK,livestock,GROUND WATER,002,0.011
Nevada,32,17918,3/31/59,STK,livestock,GROUND WATER,002,0.012
Nevada,32,17917,3/31/59,STK,livestock,GROUND WATER,002,0.012
Nevada,32,31347,1/18/19,IRR,irrigation,GROUND WATER,002,5.4
Nevada,32,75291,11/22/13,MM,industrial,GROUND WATER,002,1.114
Nevada,32,8918,5/22/29,STK,livestock,GROUND WATER,002,0.022
Nevada,32,83209,6/1/16,IRR,irrigation,GROUND WATER,002,6
Nevada,32,44817,11/19/85,STK,livestock,GROUND WATER,002,0.011
Nevada,32,77663,12/8/08,IRR,irrigation,GROUND WATER,002,9.28
Nevada,32,84922,2/8/52,IRR,irrigation,GROUND WATER,002,4.74
