state,FIPS,waterRightID,priorityDate,origWaterUse,waterUse,source,basinNum,CFS
Washington,53,2131338,7/3/74,DS,domestic,SURFACE WATER,59,0.02
Washington,53,2077252,5/28/74,DS,domestic,SURFACE WATER,47,0.01
Washington,53,2077254,4/22/74,DS,domestic,SURFACE WATER,45,0.02
Washington,53,2131493,6/5/74,DS,domestic,SURFACE WATER,59,0.01
Washington,53,2131337,6/28/74,DS,domestic,SURFACE WATER,59,0.01
Washington,53,2214076,1/6/41,DS,domestic,SURFACE WATER,28,0.02
Washington,53,2077352,7/20/74,DS,domestic,SURFACE WATER,47,0.02
Washington,53,2077684,1/1/01,DS,domestic,SURFACE WATER,49,0.01
Washington,53,2077251,5/17/74,DS,domestic,SURFACE WATER,49,0.01
Washington,53,2131279,6/25/74,DS,domestic,SURFACE WATER,62,0.01
Washington,53,2135986,3/12/54,DS,domestic,SURFACE WATER,59,0.21
Washington,53,2213514,4/27/45,DS,domestic,SURFACE WATER,17,0.01
Washington,53,2213658,12/31/43,DS,domestic,SURFACE WATER,29,0.21
Washington,53,2032474,8/14/91,DS,domestic,SURFACE WATER,45,0.011
Washington,53,2032537,9/28/98,DS,domestic,SURFACE WATER,47,0.02
Washington,53,2079899,5/7/28,DS,domestic,SURFACE WATER,45,1
Washington,53,2077512,4/29/74,DS,domestic,SURFACE WATER,29,0.01
Washington,53,2135803,3/21/55,DS,domestic,SURFACE WATER,61,0.02
Washington,53,2131225,5/28/75,DS,domestic,SURFACE WATER,59,0.02
Washington,53,2032687,6/29/98,DS,domestic,SURFACE WATER,47,0.02
Washington,53,2032529,4/24/92,DS,domestic,SURFACE WATER,47,0.011
Washington,53,2077404,10/14/71,DS,domestic,SURFACE WATER,48,0.02
Washington,53,2131226,6/25/75,DS,domestic,SURFACE WATER,61,0.02
Washington,53,2077511,4/29/74,DS,domestic,SURFACE WATER,45,0.02
Washington,53,2131585,3/12/74,DS,domestic,SURFACE WATER,59,0.01
Washington,53,2131331,7/2/74,DS,domestic,SURFACE WATER,59,0.01
Washington,53,2077793,1/1/00,DS,domestic,SURFACE WATER,48,0.97
Washington,53,2131589,3/1/74,DS,domestic,SURFACE WATER,55,0.02
Washington,53,2032526,3/29/91,DS,domestic,SURFACE WATER,47,0.011
Washington,53,2131490,6/4/74,DS,domestic,SURFACE WATER,55,0.02
Washington,53,2131280,6/25/74,DS,domestic,SURFACE WATER,62,0.01
Washington,53,2077632,1/1/01,DS,domestic,SURFACE WATER,60,0.01
Washington,53,2032930,1/15/98,DS,domestic,SURFACE WATER,47,2
Washington,53,2032888,6/6/98,DS,domestic,SURFACE WATER,39,0.02
Washington,53,2032528,4/24/92,DS,domestic,SURFACE WATER,47,0.011
Washington,53,2038472,6/20/97,DS,domestic,SURFACE WATER,38,0.02
Washington,53,2079784,2/26/31,DS,domestic,SURFACE WATER,45,0.08
Washington,53,2079598,1/1/13,DS,domestic,SURFACE WATER,30,0.12
Washington,53,2032535,9/25/98,DS,domestic,SURFACE WATER,47,0.02
Washington,53,2131336,7/3/74,DS,domestic,SURFACE WATER,62,0.02
Washington,53,2131165,12/16/74,DS,domestic,SURFACE WATER,62,0.02
Washington,53,2077814,1889/01/01,DS,domestic,SURFACE WATER,48,0.48
Washington,53,2131342,7/12/74,DS,domestic,SURFACE WATER,59,0.02
Washington,53,2032527,8/14/91,DS,domestic,SURFACE WATER,45,0.011
Washington,53,2077679,1/1/01,DS,domestic,SURFACE WATER,49,0.01
Washington,53,2131482,5/31/74,DS,domestic,SURFACE WATER,59,0.02
Washington,53,2131343,7/12/74,DS,domestic,SURFACE WATER,59,0.02
Washington,53,2131483,5/31/74,DS,domestic,SURFACE WATER,55,0.01
Washington,53,2077861,1/1/01,DS,domestic,SURFACE WATER,49,0.01
Washington,53,2077862,1/1/01,DS,domestic,SURFACE WATER,49,0.0074
Washington,53,2077400,3/12/69,DS,domestic,SURFACE WATER,60,0.2
Washington,53,2131584,3/8/74,DS,domestic,SURFACE WATER,32,0.02
Washington,53,2131214,5/13/75,DS,domestic,SURFACE WATER,57,0.02
Washington,53,2131133,10/21/74,DS,domestic,SURFACE WATER,59,0.02
Washington,53,2032984,9/15/97,DS,domestic,SURFACE WATER,45,0.02
Washington,53,2032524,9/23/88,DS,domestic,SURFACE WATER,29,0.02
Washington,53,2077452,8/23/68,DS,domestic,SURFACE WATER,29,0.392
Washington,53,2131341,7/12/74,DS,domestic,SURFACE WATER,59,0.02
Washington,53,2032928,12/9/97,DS,domestic,SURFACE WATER,45,0.02
Washington,53,2032681,6/29/98,DS,domestic,SURFACE WATER,39,0.02
Washington,53,2131224,6/20/75,DS,domestic,SURFACE WATER,58,0.02
Washington,53,2041413,7/17/17,DS,domestic,SURFACE WATER,49,0.01
Washington,53,2077635,1/1/01,DS,domestic,SURFACE WATER,60,0.01
Washington,53,2077414,10/23/67,DS,domestic,SURFACE WATER,53,0.01
Washington,53,2032717,5/18/98,DS,domestic,SURFACE WATER,45,5
Washington,53,2131407,6/26/74,DS,domestic,SURFACE WATER,59,0.02
Washington,53,2283567,6/12/90,DS,domestic,SURFACE WATER,47,0.011
Washington,53,2131384,10/25/74,DS,domestic,SURFACE WATER,34,0.02
Washington,53,2131340,7/12/74,DS,domestic,SURFACE WATER,57,0.01
Washington,53,2077517,5/2/74,DS,domestic,SURFACE WATER,29,0.06
Washington,53,2131646,4/8/74,DS,domestic,SURFACE WATER,55,0.02
Washington,53,2032664,6/29/98,DS,domestic,SURFACE WATER,49,0.66
Washington,53,2131648,4/8/74,DS,domestic,SURFACE WATER,59,0.02
Washington,53,2135746,8/6/59,DS,domestic,SURFACE WATER,57,0.1
Washington,53,2136011,1863/01/01,DS,domestic,SURFACE WATER,32,0.532
Washington,53,2032782,2/20/98,DS,domestic,SURFACE WATER,47,0.05
Washington,53,2131503,6/5/74,DS,domestic,SURFACE WATER,62,0.02
Washington,53,2284101,9/3/85,DS,domestic,SURFACE WATER,49,0.025
Washington,53,2214015,4/24/40,DS,domestic,SURFACE WATER,18,0.08
Washington,53,2032536,9/25/98,DS,domestic,SURFACE WATER,47,0.03
Washington,53,2131132,10/19/74,DS,domestic,SURFACE WATER,55,0.01
Washington,53,2077868,1/1/01,DS,domestic,SURFACE WATER,49,0.0082
Washington,53,2135791,1/28/55,DS,domestic,SURFACE WATER,55,0.04
Washington,53,2131574,6/24/74,DS,domestic,SURFACE WATER,59,0.02
Washington,53,2077871,1/1/01,DS,domestic,SURFACE WATER,49,0.304
Washington,53,2077339,7/8/74,DS,domestic,SURFACE WATER,48,0.01
Washington,53,2077340,7/8/74,DS,domestic,SURFACE WATER,48,0.01
Washington,53,2032885,4/22/98,DS,domestic,SURFACE WATER,44,0.011
Washington,53,2077904,1/1/01,DS,domestic,SURFACE WATER,49,0.02
Washington,53,2077905,1/1/01,DS,domestic,SURFACE WATER,49,0.0066
Washington,53,2135835,10/17/55,DS,domestic,SURFACE WATER,54,0.01
Washington,53,2131334,7/3/74,DS,domestic,SURFACE WATER,61,0.03
Washington,53,2131737,11/28/73,DS,domestic,SURFACE WATER,55,0.02
Washington,53,2032902,6/15/98,DS,domestic,SURFACE WATER,39,0.02
Washington,53,2131606,3/11/74,DS,domestic,SURFACE WATER,34,0.01
Washington,53,2077816,1/1/00,DS,domestic,SURFACE WATER,48,0.26
Washington,53,2077917,1886/01/01,DS,domestic,SURFACE WATER,49,0.76
Washington,53,2282993,9/4/90,DS,domestic,SURFACE WATER,3,0.01
Washington,53,2077354,7/24/74,DS,domestic,SURFACE WATER,47,0.02
Washington,53,2077920,1886/01/01,DS,domestic,SURFACE WATER,49,0.58
Washington,53,2131751,12/10/73,DS,domestic,SURFACE WATER,55,0.02
Washington,53,2131752,12/10/73,DS,domestic,SURFACE WATER,55,0.02
Washington,53,2038468,9/11/97,DS,domestic,SURFACE WATER,45,0.03
Washington,53,2032715,7/17/98,DS,domestic,SURFACE WATER,29,5
Washington,53,2135859,4/17/56,DS,domestic,SURFACE WATER,32,0.01
Washington,53,2032170,2/15/96,DS,domestic,SURFACE WATER,1,0.02
Washington,53,2131408,12/21/74,DS,domestic,SURFACE WATER,57,0.01
